2023-02-15 23:27:38,689 INFO    MainThread:304168 [wandb_run.py:_config_callback():1163] config_cb optimizer_name adam None
2023-02-15 23:27:38,689 INFO    MainThread:304168 [wandb_config.py:__setitem__():155] config set optimizer_lr = 0.0001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14b82806a6a0>>
2023-02-15 23:27:38,689 INFO    MainThread:304168 [wandb_run.py:_config_callback():1163] config_cb optimizer_lr 0.0001 None
2023-02-15 23:27:38,690 INFO    MainThread:304168 [wandb_config.py:__setitem__():155] config set batch_size = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14b82806a6a0>>
2023-02-15 23:27:38,690 INFO    MainThread:304168 [wandb_run.py:_config_callback():1163] config_cb batch_size 10 None
2023-02-15 23:27:38,690 INFO    MainThread:304168 [wandb_config.py:__setitem__():155] config set n_seq = 5 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14b82806a6a0>>
2023-02-15 23:27:38,690 INFO    MainThread:304168 [wandb_run.py:_config_callback():1163] config_cb n_seq 5 None
2023-02-15 23:27:38,690 INFO    MainThread:304168 [wandb_config.py:__setitem__():155] config set noise_level = 0.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14b82806a6a0>>
2023-02-15 23:27:38,690 INFO    MainThread:304168 [wandb_run.py:_config_callback():1163] config_cb noise_level 0.0 None
2023-02-15 23:27:38,690 INFO    MainThread:304168 [wandb_config.py:__setitem__():155] config set mc_u = 1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14b82806a6a0>>
2023-02-15 23:27:38,690 INFO    MainThread:304168 [wandb_run.py:_config_callback():1163] config_cb mc_u 1 None
2023-02-15 23:27:38,691 INFO    MainThread:304168 [wandb_config.py:__setitem__():155] config set dt = 900 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14b82806a6a0>>
2023-02-15 23:27:38,691 INFO    MainThread:304168 [wandb_run.py:_config_callback():1163] config_cb dt 900 None
