2023-02-18 02:54:06,957 INFO    MainThread:1366965 [wandb_run.py:_config_callback():1163] config_cb model_hparams {'act_fn': 'jax._src.nn.functions.relu', 'act_fn_name': 'relu', 'padding': 'REPLICATE', 'block_size': [8, 16, 32, 64, 128, 128, 128], 'out_features': 4, 'model_type': 'U_net_modified', 'f_cori': '[[[0.0519269 ]\n  [0.0519269 ]\n  [0.0519269 ]\n  ...\n  [0.0519269 ]\n  [0.0519269 ]\n  [0.0519269 ]]\n\n [[0.05196775]\n  [0.05196775]\n  [0.05196775]\n  ...\n  [0.05196775]\n  [0.05196775]\n  [0.05196775]]\n\n [[0.05200859]\n  [0.05200859]\n  [0.05200859]\n  ...\n  [0.05200859]\n  [0.05200859]\n  [0.05200859]]\n\n ...\n\n [[0.06701647]\n  [0.06701647]\n  [0.06701647]\n  ...\n  [0.06701647]\n  [0.06701647]\n  [0.06701647]]\n\n [[0.06705471]\n  [0.06705471]\n  [0.06705471]\n  ...\n  [0.06705471]\n  [0.06705471]\n  [0.06705471]]\n\n [[0.06709296]\n  [0.06709296]\n  [0.06709296]\n  ...\n  [0.06709296]\n  [0.06709296]\n  [0.06709296]]]', 'Nc_uv': 1} None
2023-02-18 02:54:06,958 INFO    MainThread:1366965 [wandb_config.py:__setitem__():155] config set optimizer_name = adam - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14bbbe9bcd00>>
2023-02-18 02:54:06,958 INFO    MainThread:1366965 [wandb_run.py:_config_callback():1163] config_cb optimizer_name adam None
2023-02-18 02:54:06,958 INFO    MainThread:1366965 [wandb_config.py:__setitem__():155] config set optimizer_lr = 0.0001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14bbbe9bcd00>>
2023-02-18 02:54:06,958 INFO    MainThread:1366965 [wandb_run.py:_config_callback():1163] config_cb optimizer_lr 0.0001 None
2023-02-18 02:54:06,958 INFO    MainThread:1366965 [wandb_config.py:__setitem__():155] config set batch_size = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14bbbe9bcd00>>
2023-02-18 02:54:06,958 INFO    MainThread:1366965 [wandb_run.py:_config_callback():1163] config_cb batch_size 10 None
2023-02-18 02:54:06,958 INFO    MainThread:1366965 [wandb_config.py:__setitem__():155] config set n_seq = 5 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14bbbe9bcd00>>
2023-02-18 02:54:06,958 INFO    MainThread:1366965 [wandb_run.py:_config_callback():1163] config_cb n_seq 5 None
2023-02-18 02:54:06,959 INFO    MainThread:1366965 [wandb_config.py:__setitem__():155] config set noise_level = 0.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14bbbe9bcd00>>
2023-02-18 02:54:06,959 INFO    MainThread:1366965 [wandb_run.py:_config_callback():1163] config_cb noise_level 0.0 None
2023-02-18 02:54:06,959 INFO    MainThread:1366965 [wandb_config.py:__setitem__():155] config set mc_u = 1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14bbbe9bcd00>>
2023-02-18 02:54:06,959 INFO    MainThread:1366965 [wandb_run.py:_config_callback():1163] config_cb mc_u 1 None
2023-02-18 02:54:06,959 INFO    MainThread:1366965 [wandb_config.py:__setitem__():155] config set dt = 1.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x14bbbe9bcd00>>
2023-02-18 02:54:06,959 INFO    MainThread:1366965 [wandb_run.py:_config_callback():1163] config_cb dt 1.0 None
